0,1,2
4.0,4.0,55.451079677120774
4.0,5.0,53.49994496251604
4.0,6.0,52.29825373882376
4.0,7.0,51.57161965366082
4.0,8.0,51.131826861923244
4.0,9.0,50.8662981346196
4.0,10.0,50.72730249981924
4.0,11.0,50.72576879512535
4.0,12.0,50.930898005275324
4.0,13.0,51.475578695522984
4.0,14.0,52.56642186297772
4.0,15.0,54.49355972406403
4.0,16.0,57.62503554951924
4.0,17.0,62.34784167562796
4.0,18.0,68.88800796031475
4.0,19.0,77.0
5.0,0.0,69.0
5.0,1.0,65.0606818806594
5.0,2.0,61.50623086986049
5.0,3.0,58.76486045288736
5.0,4.0,56.84935726038378
5.0,5.0,55.6037430130698
5.0,6.0,54.83233532300497
5.0,7.0,54.36031844908297
5.0,8.0,54.05650775426802
5.0,9.0,53.838766281403714
5.0,10.0,53.67331318869607
5.0,11.0,53.57316762830445
5.0,12.0,53.597684403108836
5.0,13.0,53.85318685488651
5.0,14.0,54.49275222491329
5.0,15.0,55.70991945890242
5.0,16.0,57.71509645754118
5.0,17.0,60.67422928367613
5.0,18.0,64.57907532891919
5.0,19.0,69.0
6.0,0.0,62.0
6.0,1.0,60.23423459261116
6.0,2.0,58.81012123262711
6.0,3.0,57.733671393991656
6.0,4.0,57.00882450901881
6.0,5.0,56.5756380507872
6.0,6.0,56.339882122120294
6.0,7.0,56.20511147840168
6.0,8.0,56.09276577281101
6.0,9.0,55.952252700004635
6.0,10.0,55.765088670681266
6.0,11.0,55.54601219051057
6.0,12.0,55.34245541923778
6.0,13.0,55.23238043632413
6.0,14.0,55.31910853056926
6.0,15.0,55.720243317704416
6.0,16.0,56.54663253336604
6.0,17.0,57.86943787700987
6.0,18.0,59.68979139397396
6.0,19.0,62.0
7.0,0.0,54.0
7.0,1.0,54.83282209976181
7.0,2.0,55.38628710443163
7.0,3.0,55.837323032777505
7.0,4.0,56.24599746909242
7.0,5.0,56.62156179554228
7.0,6.0,56.941432999606846
7.0,7.0,57.16914699603802
7.0,8.0,57.26978019505765
7.0,9.0,57.22057921950918
7.0,10.0,57.0169922622158
7.0,11.0,56.67506264925444
7.0,12.0,56.23085068026117
7.0,13.0,55.73689122818815
7.0,14.0,55.255036778153354
7.0,15.0,54.84474340371662
7.0,16.0,54.54662794782047
7.0,17.0,54.36358305789846
7.0,18.0,54.24098532866844
7.0,19.0,54.0
8.0,0.0,47.0
8.0,1.0,49.460109482019554
8.0,2.0,51.65757268657953
8.0,3.0,53.43361956214975
8.0,4.0,54.84177300392099
8.0,5.0,55.94442248587188
8.0,6.0,56.775081289160134
8.0,7.0,57.343651594805735
8.0,8.0,57.64936488524704
8.0,9.0,57.691717628530995
8.0,10.0,57.4774058655839
8.0,11.0,57.02332994770705
8.0,12.0,56.355982473946355
8.0,13.0,55.5072277042254
8.0,14.0,54.50617675570025
8.0,15.0,53.36710705808761
8.0,16.0,52.07544593410436
8.0,17.0,50.58152667303526
8.0,18.0,48.83748345240117
8.0,19.0,47.0
9.0,0.0,39.0
9.0,1.0,44.08905184926489
9.0,2.0,47.9271088462754
9.0,3.0,50.82731335750343
9.0,4.0,53.043552343201
9.0,5.0,54.73211256871237
9.0,6.0,55.979809147804076
9.0,7.0,56.831820661665525
9.0,8.0,57.31176487681839
9.0,9.0,57.43488932210322
9.0,10.0,57.21581131425931
9.0,11.0,56.671818950423955
9.0,12.0,55.822241977183914
9.0,13.0,54.683901401061775
9.0,14.0,53.26214745991634
9.0,15.0,51.53649530988982
9.0,16.0,49.439448426286674
9.0,17.0,46.82766481128469
9.0,18.0,43.45296665129251
9.0,19.0,39.0
10.0,0.0,32.0
10.0,1.0,39.70491259353757
10.0,2.0,44.70722490507782
10.0,3.0,48.32953588744056
10.0,4.0,51.067938025863214
10.0,5.0,53.14750985623843
10.0,6.0,54.683002982170855
10.0,7.0,55.73663946738744
10.0,8.0,56.34438589186447
10.0,9.0,56.529917780592584
10.0,10.0,56.31212811139822
10.0,11.0,55.708214931895824
10.0,12.0,54.73305254476807
10.0,13.0,53.39485547422794
10.0,14.0,51.686449949708475
10.0,15.0,49.57013932438578
10.0,16.0,46.9503347271239
10.0,17.0,43.61476678168222
10.0,18.0,39.072946665824276
10.0,19.0,32.0
11.0,0.0,32.0
11.0,1.0,37.76349714647793
11.0,2.0,42.44774064466858
11.0,3.0,46.15114280241966
11.0,4.0,49.05992429488818
11.0,5.0,51.3102154584099
11.0,6.0,52.98930869514798
11.0,7.0,54.15198067058104
11.0,8.0,54.83369078237628
11.0,9.0,55.05942151805158
11.0,10.0,54.848896745224025
11.0,11.0,54.21875191007382
11.0,12.0,53.18192296730467
11.0,13.0,51.74426333194769
11.0,14.0,49.89814132880706
11.0,15.0,47.61246556215396
11.0,16.0,44.81842686395065
11.0,17.0,41.39222009681487
11.0,18.0,37.152972824193824
11.0,19.0,32.0
12.0,0.0,32.0
12.0,1.0,36.652767148073316
12.0,2.0,40.76862806466304
12.0,3.0,44.22916131431912
12.0,4.0,47.051856038876025
12.0,5.0,49.285434049689634
12.0,6.0,50.97567613529952
12.0,7.0,52.15839579068227
12.0,8.0,52.86074029491378
12.0,9.0,53.10413006683133
12.0,10.0,52.90659140404816
12.0,11.0,52.28374389457233
12.0,12.0,51.24822403782632
12.0,13.0,49.807554151742195
12.0,14.0,47.96069383165276
12.0,15.0,45.69403336805554
12.0,16.0,42.97909768492231
12.0,17.0,39.778677284649824
12.0,18.0,36.080237766010875
